3	4	31	47	12	16
1	14	28	41	12	16
27	34	36	46	12	16
7	33	45	47	12	16
13	15	29	35	12	16
29	32	34	38	12	16
11	29	36	45	12	16
5	21	38	39	12	16
15	26	34	36	12	16
17	30	34	46	12	16
17	31	42	46	12	16
25	26	27	33	12	16
21	30	40	41	12	16
7	18	21	24	12	16
9	13	25	28	12	16
2	4	17	49	12	16
8	9	20	31	12	16
1	7	9	45	12	16
17	20	30	41	12	16
2	11	13	31	12	16
15	19	34	43	12	16
1	17	23	48	12	16
25	26	33	48	12	16
10	25	42	44	12	16
7	18	20	29	12	16
21	22	25	44	12	16
3	6	15	27	12	16
6	15	27	44	12	16
13	15	25	37	12	16
5	17	18	40	12	16
