1	24	26	29
7	9	30	35
2	5	11	40
1	2	3	16
2	30	37	41
7	17	34	35
7	17	34	36
7	17	34	38
4	8	14	24
2	20	23	29
12	19	30	33
17	27	32	36
4	17	24	33
3	18	25	40
2	9	24	37
1	3	6	12
18	27	28	42
1	3	6	35
6	10	25	26
4	17	24	28
4	17	24	29
14	15	19	28
1	21	24	30
26	34	41	42
6	14	38	40
1	5	27	35
14	19	30	40
9	17	34	41
9	17	34	38
8	21	23	35
2	28	33	37
2	28	33	39
14	20	23	34
6	13	27	42
5	11	26	35
20	24	34	41
2	3	20	41
5	20	33	37
9	19	25	26
10	12	31	40
1	7	18	40
4	5	12	17
4	5	12	40
13	14	29	34
20	22	28	42
20	22	28	34
15	19	20	27
7	12	26	41
15	32	39	40
12	20	23	36
22	34	37	42
9	13	21	28
19	28	29	30
11	18	25	30
3	14	28	31
5	18	25	42
2	8	13	14
18	30	41	42
10	11	17	22
4	11	16	27
4	11	16	33
3	25	26	29
8	12	16	23
4	12	16	20
30	34	35	42
4	12	16	39
4	20	23	32
10	13	22	34
9	13	37	38
15	25	27	28
15	25	27	37
7	8	36	42
8	20	23	38
8	20	23	30
19	28	32	37
19	25	27	37
17	25	27	42
9	24	30	37
16	17	25	26
4	6	8	13
25	28	41	42
11	25	38	40
2	7	18	26
1	8	12	20
15	27	29	37
2	7	18	40
8	20	28	40
1	9	23	24
14	22	34	42
11	19	37	40
11	12	18	29
13	27	29	37
17	20	22	28
12	29	33	36
16	23	26	30
2	10	20	27
10	19	41	42
15	21	33	36
6	13	22	28
9	12	21	40
11	12	38	41
2	27	33	38
2	27	33	39
9	23	24	31
3	16	19	42
3	16	19	40
1	26	37	39
13	25	38	41
16	20	24	25
10	13	19	41
10	13	19	29
9	25	41	42
8	15	38	40
3	12	21	32
9	22	29	33
5	12	21	26
5	12	21	37
1	5	10	17
1	5	10	39
5	19	25	39
7	12	21	36
5	14	31	35
8	24	25	39
1	6	18	23
2	24	31	32
2	24	31	37
2	24	31	40
11	23	30	37
25	30	34	37
6	16	18	35
6	16	18	26
6	8	30	39
6	8	30	35
5	29	39	40
2	10	36	38
8	23	26	38
3	13	17	42
5	9	14	23
6	17	29	33
13	16	35	37
8	9	16	39
6	14	27	42
1	3	16	28
6	14	27	33
3	10	15	28
1	4	9	14
3	10	15	16
1	4	9	29
23	33	36	38
6	12	36	41
27	33	36	39
13	29	35	39
30	31	32	33
15	23	24	26
15	23	24	35
28	29	31	36
4	6	23	41
2	3	4	16
4	6	23	38
2	3	4	42
17	23	24	42
7	9	11	19
19	23	24	28
7	9	11	28
19	23	24	37
2	8	32	39
7	19	37	39
2	4	7	19
23	24	32	38
2	4	7	31
2	4	7	27
10	28	38	41
17	19	21	39
1	22	23	31
1	22	23	38
5	9	34	41
14	17	29	40
14	17	29	37
14	17	29	32
1	7	37	39
14	20	35	36
33	38	39	42
3	6	34	38
15	32	34	38
13	20	25	33
4	15	21	34
5	20	21	42
5	24	27	30
3	5	23	35
6	11	17	38
26	30	36	37
14	20	28	34
14	27	34	40
9	10	30	36
10	16	29	33
10	16	29	35
9	10	30	35
10	16	29	42
10	16	36	39
10	27	34	35
11	23	27	40
11	23	27	38
5	24	34	38
26	30	36	42
9	20	21	37
7	22	29	42
9	17	22	41
10	34	39	42
1	5	15	40
6	18	23	39
3	4	36	39
3	4	36	42
6	7	16	41
6	7	16	34
6	7	36	41
13	15	35	36
23	26	30	41
4	10	17	34
13	15	28	31
6	21	22	41
24	27	37	38
6	7	29	31
4	8	9	19
2	12	39	42
14	15	21	29
13	18	21	25
8	16	21	29
5	8	39	40
2	3	17	23
6	9	34	38
2	3	17	31
2	3	17	33
4	12	35	38
3	7	22	36
12	16	32	42
3	11	14	25
9	19	20	36
6	11	24	31
1	39	40	41
6	16	25	29
10	20	28	32
2	11	24	35
11	26	37	39
11	22	36	39
11	22	31	36
15	24	27	40
10	31	40	41
3	28	31	40
15	23	31	35
4	14	26	41
27	35	39	42
5	23	27	37
9	29	31	34
8	14	39	42
9	18	19	26
7	21	25	35
7	10	27	36
7	10	27	33
11	14	24	29
12	15	18	35
12	18	23	30
12	18	23	29
21	24	29	30
5	21	36	40
17	23	29	37
19	24	28	35
17	23	29	41
13	16	23	31
9	28	29	36
24	28	31	39
7	15	16	19
8	9	11	24
1	9	16	24
1	12	13	31
5	7	9	35
5	7	9	37
5	7	9	32
7	15	16	32
7	17	26	31
5	7	9	18
13	25	26	31
5	10	23	29
5	10	23	28
3	29	34	35
10	24	29	33
8	15	33	40
6	26	30	32
18	28	30	31
18	28	30	33
8	15	33	39
9	12	14	41
5	12	26	36
1	5	7	30
4	5	17	20
4	5	17	36
8	11	32	33
6	15	18	42
10	29	32	33
2	17	28	38
18	25	37	41
19	20	27	28
19	20	27	38
8	30	33	41
3	11	21	34
11	17	22	38
13	28	31	35
5	32	41	42
10	14	19	26
3	15	16	17
3	22	28	39
6	14	22	32
8	21	30	41
15	29	30	39
7	8	11	32
22	32	34	36
12	24	32	42
18	21	30	41
7	13	25	31
7	13	25	33
7	13	25	41
4	25	31	39
3	25	33	42
11	12	13	22
11	12	26	38
14	21	30	42
26	29	36	37
3	17	26	37
8	9	11	15
8	9	11	16
8	17	24	42
11	20	33	40
7	21	32	33
2	11	36	42
4	6	31	41
4	22	26	41
11	16	27	32
15	19	32	36
4	22	26	38
7	11	15	39
6	12	31	40
12	36	40	42
5	18	38	42
10	16	17	21
21	27	39	40
7	17	27	36
7	17	27	34
4	8	21	36
6	16	20	31
14	21	27	39
3	11	19	34
5	10	22	38
5	10	22	40
9	10	28	31
14	15	26	40
9	10	28	41
16	18	28	39
5	6	16	36
5	6	16	37
2	9	17	26
2	9	17	40
20	27	29	36
20	27	29	42
1	5	34	41
6	10	18	23
1	11	19	28
9	12	19	36
21	36	40	41
4	19	39	40
1	18	32	42
12	16	17	20
12	16	17	41
4	16	20	38
5	11	19	20
5	11	19	31
21	26	28	34
11	15	16	38
4	9	18	19
3	11	33	42
2	15	20	27
6	7	31	34
11	13	25	41
15	21	37	42
7	20	26	31
24	25	27	40
12	24	29	33
24	25	27	29
8	36	38	42
3	13	24	36
3	13	24	37
3	13	24	32
1	10	22	34
6	25	29	37
2	16	20	27
7	11	19	24
2	26	34	38
5	12	13	17
1	3	12	35
1	3	12	29
15	23	28	34
24	28	29	32
24	28	29	33
8	14	15	28
8	14	15	20
3	21	31	35
8	14	15	16
24	30	31	32
17	31	35	36
1	5	14	35
2	16	20	29
5	7	11	30
1	9	11	33
1	9	11	14
10	22	38	41
2	17	31	32
11	17	21	28
7	11	22	36
19	21	26	38
12	26	35	38
8	17	20	35
26	28	29	32
4	6	30	31
10	18	23	38
7	8	28	36
22	28	29	30
4	6	16	39
6	19	22	28
6	19	22	24
8	12	29	38
4	19	22	30
11	12	14	34
1	6	14	40
10	25	35	36
4	15	25	40
12	23	38	41
11	12	25	27
3	10	19	22
1	2	7	19
1	2	7	27
9	17	30	34
5	20	25	40
5	20	25	35
2	21	26	30
2	5	15	17
10	17	31	32
17	21	40	41
2	5	15	38
2	3	8	33
7	32	34	35
2	14	40	42
15	18	19	34
1	13	24	28
2	6	26	37
8	15	26	40
21	23	25	27
6	7	28	32
28	33	34	41
4	20	27	41
9	23	31	38
5	10	11	22
32	33	36	42
20	29	35	38
5	7	30	40
5	7	30	39
6	18	31	40
9	10	31	37
10	19	22	26
17	29	31	32
16	17	32	37
7	10	11	17
1	2	17	20
2	9	12	19
2	9	12	25
2	9	12	42
10	13	34	41
2	29	37	39
11	16	22	35
3	15	27	39
7	12	19	20
5	14	16	29
2	3	24	37
13	15	36	39
6	10	13	29
5	14	16	19
6	10	13	23
1	12	25	35
6	31	33	35
10	12	23	28
10	12	23	29
10	11	24	42
12	17	29	33
16	28	41	42
8	19	39	41
13	16	22	31
6	19	39	40
14	16	20	21
4	12	23	33
3	7	10	27
3	7	10	24
2	6	10	36
2	6	10	37
3	7	10	14
3	9	20	21
17	18	22	28
9	21	37	40
20	23	27	40
15	17	30	41
4	20	30	33
7	23	28	40
9	19	21	36
8	10	13	27
19	36	37	40
3	5	7	20
2	8	17	39
2	8	17	28
10	21	22	36
10	21	22	38
12	13	15	22
12	13	15	40
8	29	37	38
14	21	22	39
19	25	34	41
18	19	31	41
5	12	18	31
4	21	22	27
4	21	22	29
7	20	21	32
4	16	32	33
4	16	32	39
7	24	27	33
11	15	35	37
8	11	24	25
8	9	28	38
1	4	35	41
10	21	39	40
5	19	24	32
10	24	32	33
6	12	28	32
5	11	14	26
2	5	30	32
11	17	19	39
11	17	19	21
20	22	24	26
20	22	24	29
20	22	24	30
2	5	23	40
11	17	26	31
2	12	15	23
15	19	21	42
21	33	35	36
21	33	35	41
21	33	35	42
2	4	35	36
2	4	35	37
3	13	36	37
3	13	36	38
2	17	23	33
10	14	21	36
8	13	15	25
8	13	15	26
21	31	37	39
11	18	21	25
7	17	22	30
7	17	22	29
8	18	36	41
9	33	41	42
7	22	36	37
7	22	36	38
8	13	15	40
1	3	5	40
2	27	34	38
3	24	27	36
18	27	30	41
8	27	39	42
14	28	34	38
9	12	22	38
5	27	36	38
10	13	27	28
9	28	31	37
9	12	22	42
7	9	28	33
4	10	20	42
4	9	26	41
10	12	30	41
4	9	26	39
12	18	31	35
18	24	38	42
19	33	34	38
14	18	23	34
16	18	31	35
19	23	36	42
19	23	36	37
2	30	40	41
18	21	28	40
27	31	33	38
14	26	30	31
2	26	39	40
8	20	31	33
13	22	36	39
1	8	24	42
1	10	27	28
5	21	25	32
4	14	21	27
4	14	21	37
4	14	21	39
2	16	29	35
5	15	28	34
8	12	24	37
2	8	9	21
5	11	22	31
8	31	38	39
23	29	38	42
8	14	34	42
2	14	19	30
28	29	36	42
2	14	19	28
2	16	36	39
10	13	39	42
2	18	39	42
5	9	19	25
5	7	16	21
7	14	17	26
31	34	37	41
22	28	31	36
22	28	31	42
24	29	30	37
8	19	30	33
11	30	35	37
5	22	28	32
5	22	28	42
16	21	23	37
26	28	37	42
9	17	19	26
15	25	26	41
2	8	29	39
2	3	12	32
2	3	12	15
2	3	12	21
9	15	16	28
3	19	20	31
1	11	21	34
1	13	31	36
11	16	30	31
2	20	22	28
2	20	22	25
17	24	28	42
2	5	10	17
2	5	10	27
7	14	36	41
1	7	8	18
1	7	8	10
11	21	25	30
11	21	25	33
20	22	36	37
4	28	33	34
4	15	18	21
13	14	36	42
4	13	27	32
6	14	19	40
13	20	33	38
15	23	35	37
7	10	23	31
1	2	12	32
12	21	30	33
11	25	26	35
2	20	35	37
4	21	34	39
2	3	32	36
2	19	34	40
1	30	35	38
14	16	25	32
19	23	29	35
19	23	29	36
1	6	26	35
3	6	10	17
15	35	37	38
3	5	28	37
19	35	37	39
28	30	37	40
7	28	29	36
7	28	29	31
7	26	38	41
9	18	21	24
9	13	38	39
9	14	20	21
4	8	19	32
2	30	33	38
1	8	17	27
3	6	23	24
10	25	28	30
3	6	10	35
5	15	35	37
10	36	40	42
8	10	21	29
2	3	26	27
5	14	32	38
5	14	32	34
5	14	32	37
3	7	23	24
1	24	30	38
15	21	34	36
15	21	34	38
4	27	28	36
21	36	39	40
7	9	16	29
10	26	28	41
5	13	21	33
14	21	24	34
12	21	24	40
3	14	18	39
3	14	18	33
5	7	24	40
1	5	31	33
27	31	35	39
27	31	35	42
27	31	35	41
7	26	27	31
14	18	25	37
6	14	28	30
9	25	30	42
7	27	38	41
10	17	25	31
13	16	24	36
1	25	27	29
2	31	38	42
9	15	18	19
14	27	28	38
27	33	40	42
3	6	12	18
3	30	31	35
16	21	24	38
2	7	19	23
11	16	24	28
11	28	29	31
4	11	20	30
11	16	24	37
11	28	29	39
11	16	24	38
2	7	19	31
3	12	27	36
4	5	32	42
1	2	9	17
2	28	39	41
13	23	36	42
21	28	30	36
1	19	20	26
1	19	20	31
6	21	23	31
1	19	20	41
6	21	23	39
11	30	37	41
7	12	30	41
1	6	22	42
2	4	17	20
2	4	20	39
2	4	17	35
2	4	17	27
10	18	36	39
13	15	29	32
2	5	17	40
1	6	22	28
2	5	17	38
2	5	17	31
7	11	16	17
9	14	18	32
9	18	35	38
9	18	35	40
19	22	34	38
18	26	37	42
15	26	27	39
15	26	27	28
17	26	27	37
16	26	37	39
13	14	18	20
2	3	5	31
27	29	30	35
5	11	30	33
1	10	30	38
12	29	34	40
5	21	33	39
4	9	15	19
7	9	36	38
4	7	24	30
5	11	16	24
18	19	25	29
15	23	25	35
9	14	21	32
25	33	37	40
2	17	25	40
2	17	25	38
25	28	30	38
25	28	30	41
4	6	29	40
2	8	14	16
2	8	14	29
31	36	37	42
2	8	14	25
1	27	29	41
6	7	25	30
1	4	31	41
25	29	30	35
4	18	24	36
1	4	31	33
1	4	31	40
8	12	17	37
9	21	34	37
11	16	35	42
9	29	32	35
3	8	19	40
3	8	19	23
3	8	19	32
11	15	24	38
5	20	22	40
12	13	31	36
3	6	7	13
2	24	25	35
4	6	32	41
1	14	29	31
1	7	33	40
4	23	26	41
2	6	9	36
20	27	37	41
17	25	31	32
12	20	24	36
1	2	4	35
1	2	4	29
1	2	4	27
1	2	4	20
5	23	24	38
9	26	30	33
9	26	30	35
13	16	29	30
3	30	36	40
21	24	33	38
8	29	34	41
10	25	32	33
5	10	24	42
6	13	28	31
23	24	33	36
5	10	24	26
9	20	22	36
4	14	27	39
4	14	27	32
12	15	22	34
10	14	23	29
10	14	23	32
12	15	22	29
10	16	33	41
10	15	19	41
3	4	8	9
20	23	24	36
7	12	15	23
9	16	32	39
7	12	15	41
10	22	30	38
9	12	15	25
10	22	30	41
12	23	26	40
12	23	26	33
6	12	20	36
10	13	31	37
2	8	33	37
16	17	19	34
8	21	29	37
27	28	31	33
18	30	31	35
6	23	26	38
10	31	33	41
12	14	23	35
7	20	22	26
12	18	24	39
15	18	35	40
15	18	35	42
11	17	30	33
11	17	30	39
17	36	40	41
12	16	33	42
2	5	6	21
4	12	17	24
6	12	17	28
6	12	17	29
3	4	18	25
10	13	28	41
10	18	24	25
2	14	27	38
2	14	27	35
4	12	17	42
4	12	17	41
18	32	38	40
12	13	28	32
6	9	16	34
2	12	17	40
6	9	16	37
2	12	17	21
26	27	34	42
2	12	17	27
24	35	41	42
13	17	30	37
12	24	38	40
6	28	34	41
27	32	34	42
9	11	24	39
9	11	24	32
12	17	20	34
9	15	37	40
4	13	36	39
21	28	35	37
3	9	26	32
4	34	35	42
4	9	10	29
5	12	15	18
5	12	15	37
11	24	28	38
9	20	27	31
14	16	22	32
5	16	28	37
20	21	26	38
20	21	26	42
11	24	35	38
26	33	35	40
13	18	27	39
13	18	27	30
13	18	27	40
16	17	26	42
1	6	10	22
16	17	26	32
24	36	37	38
3	8	22	28
7	8	17	32
8	27	36	41
3	12	22	31
6	14	23	30
22	23	24	26
9	13	15	19
3	22	29	31
13	14	21	36
10	13	16	31
7	22	33	38
12	34	36	42
6	26	29	31
8	10	19	20
3	23	24	35
3	11	35	40
6	7	8	30
1	16	28	32
3	15	17	23
7	12	22	41
3	15	17	33
26	34	39	40
12	25	29	38
2	24	32	40
2	14	34	41
22	24	28	31
28	30	33	36
11	15	32	33
1	18	19	39
1	18	19	36
1	18	19	37
12	16	26	32
12	16	26	42
3	11	22	24
3	11	22	26
3	11	22	32
11	17	23	24
1	4	12	17
10	21	23	32
2	10	14	41
5	9	10	13
8	9	25	35
6	10	14	27
6	10	14	26
2	4	12	42
6	10	14	15
2	9	13	37
16	22	23	31
2	4	12	15
2	20	31	34
2	25	29	39
3	18	21	28
11	13	21	27
19	31	32	33
19	31	32	34
9	12	27	41
1	17	22	38
4	12	29	37
7	18	34	42
1	27	40	41
14	29	39	42
7	18	27	41
9	19	26	35
15	27	33	42
12	14	28	41
12	16	38	41
4	8	15	18
14	19	28	33
14	17	18	29
6	8	31	40
10	27	28	30
14	15	27	28
1	9	29	31
22	25	35	42
3	5	12	16
5	17	23	24
18	26	32	40
18	26	32	34
5	17	23	40
10	29	38	42
2	18	29	36
13	24	31	40
23	24	26	38
3	8	10	41
18	21	24	26
3	8	10	19
18	21	24	28
3	8	10	18
17	19	22	37
18	21	24	40
18	31	34	36
6	24	26	35
3	4	6	34
8	11	26	39
8	11	26	29
9	17	35	39
3	33	34	40
11	20	27	28
25	27	28	29
3	7	28	32
4	15	27	31
4	6	9	31
7	13	19	20
24	34	41	42
7	21	26	34
3	5	9	32
2	11	17	28
7	23	36	37
14	18	32	34
5	9	22	32
5	9	22	23
12	16	19	20
16	19	24	36
11	19	26	28
2	6	28	33
8	17	18	33
7	16	24	37
3	11	15	36
16	24	26	40
8	20	29	42
8	20	29	37
8	20	29	36
15	17	35	41
3	11	15	25
21	23	27	30
21	23	27	42
10	13	36	40
10	13	36	39
10	13	23	28
4	28	30	33
22	34	38	40
15	21	22	29
12	18	29	35
12	18	29	39
15	21	22	34
15	21	22	39
15	21	22	42
12	24	26	27
4	17	18	22
17	18	28	39
24	31	32	36
13	19	33	38
2	3	33	37
16	18	32	42
2	3	33	42
12	28	30	38
1	9	37	41
2	14	15	16
12	19	23	42
14	21	31	37
2	15	26	30
17	24	29	33
14	15	30	38
2	9	21	37
2	9	21	25
3	8	27	40
1	21	37	40
6	13	24	36
6	13	24	31
21	23	26	32
5	14	25	33
3	4	5	22
8	14	35	42
34	36	39	40
13	18	22	23
22	23	36	37
22	23	36	39
20	33	34	36
4	10	18	28
4	10	18	25
4	10	18	24
26	31	32	36
7	13	34	35
4	10	18	36
18	29	30	31
18	29	30	39
4	15	26	31
6	12	13	31
6	12	13	28
10	28	30	36
11	34	41	42
5	17	27	30
5	10	12	23
5	10	12	29
16	21	31	35
1	20	26	27
2	3	13	29
4	23	38	41
4	8	11	42
9	15	25	31
22	25	27	36
4	11	13	22
6	16	26	27
17	20	30	37
10	17	18	33
10	17	18	36
19	20	30	31
8	16	26	35
22	33	34	38
22	33	34	36
11	16	31	33
11	16	31	37
10	17	18	21
10	17	18	28
15	29	37	42
4	21	31	37
13	17	28	41
4	22	27	30
8	11	33	40
3	19	33	35
8	21	36	40
7	10	12	41
7	10	12	40
12	17	21	42
9	10	12	40
1	17	27	31
3	9	18	20
5	6	40	42
29	30	31	32
11	20	26	36
9	26	34	42
6	12	24	27
1	29	31	32
10	13	35	41
6	22	27	41
18	22	28	39
12	14	16	31
12	14	16	30
16	22	31	35
6	31	34	42
6	20	36	42
6	20	36	41
12	16	21	28
2	12	24	28
3	28	36	40
3	16	31	39
4	12	24	38
17	30	33	37
13	18	19	37
1	8	37	42
11	17	27	28
7	36	37	42
9	18	22	31
9	18	22	33
9	18	22	29
9	18	22	23
7	36	37	38
6	19	23	36
18	23	39	40
1	34	40	41
1	2	21	28
21	22	30	36
7	17	30	41
6	10	33	37
2	9	32	38
2	9	32	37
9	18	22	41
2	4	29	36
7	22	32	38
7	22	32	33
8	17	26	39
5	22	32	42
5	22	32	33
8	22	30	39
3	22	32	41
3	22	32	40
2	16	21	31
15	32	36	40
5	12	19	36
7	8	9	20
11	18	19	35
11	18	19	30
11	18	19	25
2	3	18	20
1	4	5	33
1	12	19	34
1	7	26	30
1	7	26	31
9	15	20	27
1	7	26	27
4	23	33	34
6	8	17	20
6	8	17	35
5	17	30	40
19	30	33	38
27	32	38	42
6	11	38	40
1	3	13	38
2	11	18	19
1	3	13	16
2	11	18	25
4	11	18	25
4	11	18	28
6	11	18	35
4	16	21	39
6	11	18	32
19	27	34	35
17	27	34	35
7	10	31	35
4	16	21	41
1	8	21	26
1	22	32	37
4	6	20	27
9	25	28	29
3	23	31	35
3	23	31	32
8	28	35	38
1	9	17	21
3	17	30	37
2	5	24	36
7	11	23	24
21	28	34	42
21	28	34	40
1	14	25	34
9	13	14	40
8	20	37	42
20	22	25	28
5	6	25	29
1	6	15	35
16	18	37	39
1	9	17	30
1	9	17	22
1	6	15	16
4	9	19	26
5	9	11	42
5	9	11	20
13	22	32	33
5	9	11	19
7	14	25	36
13	15	17	41
13	15	17	40
9	12	28	38
13	15	17	26
5	7	17	35
5	7	17	32
4	9	22	26
5	19	21	33
5	11	23	24
5	11	23	37
7	8	29	34
7	8	29	36
21	25	32	36
21	25	32	39
1	31	35	42
27	31	39	42
4	17	32	38
11	15	20	27
17	21	27	30
17	21	27	34
1	6	7	8
5	7	20	35
5	7	20	30
19	23	37	40
21	34	36	39
21	34	36	40
11	18	27	36
18	19	24	28
10	12	36	42
6	18	20	27
13	17	23	24
17	26	39	40
4	31	33	40
20	29	36	42
8	23	30	38
13	35	40	41
3	19	21	33
3	19	21	35
3	6	24	28
3	6	24	35
3	6	24	34
10	24	25	26
7	11	31	39
15	20	35	38
19	22	33	38
19	22	33	34
4	17	29	33
13	24	35	37
4	28	34	41
20	25	30	33
1	22	29	42
13	24	28	39
13	24	28	29
15	22	26	29
8	14	23	24
8	14	23	33
2	13	16	26
1	12	22	27
9	15	17	31
9	15	17	32
2	13	23	39
8	14	16	17
16	23	27	41
19	22	26	30
8	14	16	29
10	17	20	25
16	18	20	38
19	22	26	40
16	18	20	23
12	19	35	37
3	5	29	31
1	21	25	36
12	19	28	31
1	21	25	26
3	4	33	42
3	6	11	26
1	2	26	38
10	22	34	39
4	5	20	41
4	5	20	32
9	16	17	29
11	13	19	32
15	24	31	40
5	8	36	40
12	21	23	26
1	8	18	42
12	13	29	40
12	13	29	39
4	14	23	29
12	21	23	40
4	14	23	34
4	14	23	39
2	15	21	41
8	12	18	24
22	26	27	30
1	2	8	29
9	23	29	41
1	2	8	39
2	15	34	38
3	15	31	35
3	15	31	34
3	15	31	40
2	15	21	35
13	16	28	42
1	8	18	30
2	20	28	31
18	24	27	33
4	16	38	40
7	22	25	32
9	13	26	31
6	9	31	33
8	12	32	37
2	9	18	42
9	16	31	37
12	13	16	31
1	17	19	34
1	28	31	34
1	28	31	37
4	10	14	23
6	7	13	23
14	22	23	29
6	7	13	33
14	22	23	39
7	9	17	38
24	32	35	41
1	4	17	20
7	18	19	20
9	22	33	36
14	16	19	38
3	12	26	36
2	6	11	17
2	21	30	33
16	17	18	24
16	17	18	20
2	6	11	28
7	17	23	32
3	10	16	19
4	9	14	24
4	9	14	27
4	9	14	37
13	18	30	36
12	17	37	42
8	15	30	40
2	10	38	41
13	29	36	37
2	12	16	27
2	12	16	37
22	31	36	40
8	17	33	41
5	23	29	37
11	31	36	40
15	21	26	34
15	21	26	28
7	12	27	36
7	12	27	38
1	5	30	37
5	25	27	29
11	14	20	36
11	14	20	34
7	10	17	28
21	24	26	35
3	12	14	37
4	18	29	30
7	13	22	35
7	13	22	34
15	19	22	38
11	24	31	32
12	17	18	20
8	22	23	29
2	3	9	37
2	10	18	36
10	18	29	36
4	5	13	18
15	16	17	27
6	7	20	41
6	7	20	34
1	4	29	31
1	6	39	42
9	16	24	26
9	16	24	40
22	26	34	41
11	14	33	34
1	5	11	34
1	5	11	17
18	23	30	40
17	20	27	30
5	8	9	37
4	14	35	36
32	33	40	42
1	4	16	39
6	15	27	28
1	23	36	37
1	23	36	38
6	9	11	17
6	23	34	40
7	24	28	37
1	9	25	27
9	12	23	26
27	31	34	35
5	16	24	38
19	26	28	36
19	26	28	35
3	28	29	38
5	13	38	41
13	17	35	39
4	5	22	33
2	18	25	31
9	22	34	41
11	25	31	38
11	25	31	34
17	27	28	35
8	16	23	30
6	7	9	40
4	11	26	35
6	7	9	34
11	19	30	31
16	27	32	39
3	20	23	28
13	19	30	38
13	19	30	33
6	13	17	30
6	13	17	36
6	13	17	27
6	13	17	24
7	9	20	37
4	14	28	36
13	15	19	36
13	15	19	29
13	15	19	21
9	21	23	29
12	24	30	38
1	8	9	39
8	13	21	33
6	20	33	38
3	21	34	36
9	29	33	34
1	19	26	29
8	17	34	41
15	20	23	42
