4;5;37;39;43;49
24;36;40;41;43;47
9;15;17;20;23;40
11;13;22;28;32;37
4;9;14;24;44;47
7;18;24;27;31;40
5;11;27;38;39;45
1;12;23;28;35;38
1;10;13;16;24;26
4;8;11;15;31;38
2;3;5;16;17;34
20;23;29;30;37;47
3;8;13;14;32;36
16;18;27;31;34;40
2;8;17;34;35;44
1;3;6;11;20;38
7;17;29;30;41;45
4;18;36;40;44;49
23;27;28;29;30;36
1;14;15;19;40;41
10;23;34;35;36;43
6;21;23;27;39;44
7;16;20;27;28;30
18;24;32;41;44;45
9;16;20;30;34;41
1;11;21;33;45;49
8;10;12;22;28;35
2;6;12;25;29;43
2;3;22;35;37;45
9;12;22;27;46;48
1;12;15;30;41;44
8;10;12;33;42;47
12;19;20;28;40;43
2;10;27;33;42;47
25;36;39;40;41;48
7;12;19;29;30;37
9;24;35;40;46;49
3;12;25;26;27;38
7;22;23;28;32;33
9;18;32;37;40;48
3;6;14;29;40;43
20;21;27;31;43;49
7;11;20;29;42;47
10;11;21;23;38;44
1;18;19;40;43;44
24;26;31;42;43;45
4;15;27;33;34;47
7;9;10;19;37;38
1;2;19;30;38;43
18;22;31;34;36;44
15;17;24;35;40;43
1;10;12;16;17;20
2;7;11;36;38;49
7;29;30;33;35;47
15;17;22;25;29;41
1;28;33;42;44;46
4;8;29;35;39;49
7;19;21;23;29;43
10;11;20;21;23;34
10;17;25;26;40;45
13;17;23;29;40;49
4;8;24;30;38;40
1;6;9;14;23;35
2;8;25;39;43;48
4;14;28;34;38;40
3;5;12;22;24;30
15;17;21;27;32;35
18;19;20;25;32;41
3;4;14;39;42;47
8;16;19;20;41;43
14;16;23;40;43;45
2;11;21;29;36;49
10;14;17;18;30;31
3;6;15;34;45;48
12;29;30;33;34;41
2;3;23;33;36;48
3;36;37;43;46;47
8;10;15;19;35;41
4;8;12;24;25;29
1;16;29;33;38;48
4;20;25;28;32;41
7;11;21;26;28;36
3;15;21;39;40;48
6;9;12;21;22;47
9;16;20;23;24;47
22;24;26;27;46;48
7;18;22;34;38;47
10;12;29;35;41;46
10;15;33;35;45;47
21;22;23;24;36;38
6;11;21;35;40;41
6;9;17;29;37;41
6;11;21;34;38;41
5;6;9;29;34;36
2;9;18;21;27;44
15;17;19;22;28;46
2;5;6;16;28;35
25;26;30;31;37;43
6;27;34;35;45;48
6;7;11;29;31;33
7;8;20;27;39;40
2;16;20;29;36;44
1;23;32;33;46;48
2;8;11;12;21;23
4;13;16;35;41;44
1;4;16;22;35;36
1;2;9;14;37;38
